T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
10471, -102, 11, 1020, 2450, -210, 1820
10491, -101, 12, 1020, 2450, -210, 1820
10511, -101, 11, 1020, 2450, -210, 1820
10531, -101, 13, 1020, 2450, -210, 1890
10551, -101, 10, 1021, 2450, -210, 1820
10571, -101, 11, 1020, 2450, -210, 1890
10591, -103, 13, 1019, 2520, -210, 1890
10611, -101, 11, 1020, 2450, -210, 1890
10631, -102, 11, 1021, 2450, -210, 1820
10651, -102, 12, 1020, 2450, -210, 1820
10671, -104, 10, 1017, 2450, -210, 1820
10691, -104, 11, 1018, 2450, -210, 1890
10711, -103, 12, 1019, 2450, -210, 1820
10731, -104, 12, 1021, 2450, -210, 1820
10751, -102, 10, 1020, 2450, -210, 1820
10771, -103, 11, 1019, 2450, -210, 1890
10791, -103, 12, 1020, 2450, -210, 1820
10811, -101, 10, 1019, 2450, -210, 1820
10831, -102, 12, 1019, 2450, -210, 1820
10851, -102, 11, 1019, 2450, -210, 1890
10871, -103, 12, 1019, 2450, -210, 1890
10891, -102, 12, 1020, 2450, -210, 1820
10911, -103, 11, 1017, 2450, -210, 1890
10931, -103, 12, 1020, 2450, -210, 1890
10951, -103, 12, 1020, 2450, -210, 1890
10971, -102, 13, 1019, 2450, -210, 1890
10991, -102, 13, 1022, 2450, -210, 1820
11011, -101, 11, 1019, 2450, -210, 1890
11031, -103, 10, 1020, 2450, -210, 1820
11051, -102, 10, 1018, 2520, -210, 1890
11071, -102, 11, 1020, 2450, -210, 1890
11091, -102, 10, 1019, 2450, -210, 1820
11111, -102, 9, 1020, 2450, -210, 1820
11131, -103, 12, 1019, 2450, -210, 1890
11151, -103, 11, 1020, 2450, -210, 1890
11171, -104, 10, 1022, 2450, -210, 1890
11191, -102, 10, 1019, 2450, -210, 1820
11211, -102, 12, 1020, 2450, -210, 1820
11231, -100, 11, 1020, 2450, -210, 1890
11251, -102, 12, 1020, 2520, -210, 1820
11271, -101, 11, 1019, 2520, -210, 1820
11291, -103, 12, 1020, 2520, -210, 1820
11311, -103, 11, 1019, 2450, -210, 1890
11331, -102, 11, 1020, 2450, -210, 1820
11351, -104, 10, 1018, 2450, -210, 1820
11371, -103, 12, 1021, 2450, -210, 1890
11391, -102, 11, 1019, 2450, -210, 1820
11411, -102, 13, 1018, 2450, -210, 1890
11431, -102, 11, 1021, 2450, -210, 1820
11451, -101, 12, 1019, 2450, -210, 1890
11471, -103, 11, 1019, 2450, -210, 1820
11491, -103, 11, 1018, 2450, -210, 1890
11511, -97, 12, 1020, 2450, -210, 1820
11531, -105, 11, 1019, 2450, -210, 1820
11551, -101, 13, 1019, 2450, -210, 1890
11571, -100, 12, 1023, 2450, -210, 1890
11591, -98, 14, 1017, 2450, -210, 1820
11611, -105, 12, 1018, 2450, -210, 1890
11631, -102, 12, 1020, 2450, -210, 1820
11651, -101, 13, 1023, 2450, -210, 1890
11671, -104, 13, 1021, 2450, -210, 1890
11691, -104, 12, 1019, 2450, -210, 1820
11711, -101, 12, 1018, 2450, -210, 1820
11731, -103, 10, 1020, 2450, -210, 1820
11751, -101, 12, 1022, 2450, -210, 1820
11771, -102, 13, 1017, 2450, -210, 1890
11791, -104, 11, 1020, 2450, -210, 1820
11811, -104, 10, 1018, 2450, -210, 1820
11831, -103, 10, 1020, 2520, -210, 1820
11851, -102, 11, 1019, 2450, -210, 1890
11871, -101, 11, 1020, 2450, -210, 1890
11891, -102, 11, 1019, 2450, -210, 1890
11911, -102, 12, 1018, 2450, -210, 1890
11931, -101, 10, 1021, 2450, -210, 1890
11951, -103, 11, 1019, 2450, -210, 1820
11971, -103, 12, 1021, 2450, -210, 1890
11991, -102, 11, 1019, 2520, -210, 1890
12011, -103, 12, 1020, 2450, -210, 1890
12031, -103, 12, 1019, 2450, -210, 1890
12051, -101, 12, 1018, 2450, -140, 1820
12071, -101, 12, 1020, 2450, -210, 1890
12091, -101, 13, 1019, 2450, -210, 1890
12111, -101, 12, 1020, 2450, -210, 1890
12131, -101, 12, 1019, 2450, -210, 1820
12151, -102, 11, 1021, 2450, -210, 1820
12171, -102, 11, 1020, 2450, -210, 1820
12191, -103, 12, 1019, 2450, -210, 1890
12211, -102, 11, 1017, 2450, -210, 1890
12231, -103, 11, 1020, 2450, -140, 1890
12251, -103, 12, 1018, 2450, -210, 1890
12271, -101, 12, 1021, 2450, -210, 1820
12291, -101, 10, 1018, 2450, -210, 1890
12311, -101, 11, 1019, 2450, -210, 1890
12331, -101, 11, 1021, 2450, -210, 1890
12351, -101, 11, 1021, 2450, -210, 1820
12371, -101, 12, 1019, 2450, -210, 1820
12391, -103, 10, 1019, 2450, -210, 1890
12411, -104, 11, 1020, 2450, -210, 1890
12431, -104, 10, 1021, 2450, -210, 1820
12451, -103, 11, 1020, 2450, -210, 1820
12471, -103, 12, 1021, 2450, -210, 1890
12491, -102, 12, 1020, 2450, -210, 1820
12511, -101, 11, 1019, 2450, -210, 1820
12531, -101, 11, 1021, 2450, -210, 1890
12551, -102, 11, 1018, 2450, -210, 1820
12571, -103, 11, 1020, 2450, -210, 1890
12591, -100, 11, 1018, 2450, -210, 1820
12611, -102, 12, 1020, 2450, -210, 1820
12631, -104, 11, 1019, 2450, -210, 1820
12651, -104, 10, 1020, 2450, -210, 1820
12671, -102, 11, 1019, 2450, -210, 1890
12691, -102, 11, 1018, 2450, -210, 1890
12711, -102, 12, 1019, 2450, -210, 1890
12731, -103, 12, 1019, 2450, -210, 1820
12751, -102, 12, 1019, 2450, -210, 1820
12771, -103, 12, 1018, 2450, -210, 1890
12791, -101, 12, 1019, 2450, -140, 1820
12811, -101, 10, 1020, 2450, -210, 1820
12831, -103, 12, 1018, 2450, -210, 1820
12851, -103, 10, 1022, 2450, -210, 1820
12871, -101, 13, 1019, 2450, -210, 1890
12891, -101, 10, 1019, 2450, -210, 1890
12911, -102, 11, 1021, 2450, -210, 1890
12931, -102, 10, 1019, 2450, -210, 1820
12951, -104, 12, 1018, 2450, -210, 1820
12971, -102, 12, 1017, 2450, -210, 1820
12991, -101, 11, 1018, 2450, -210, 1820
13011, -103, 11, 1018, 2450, -210, 1820
13031, -102, 10, 1021, 2450, -210, 1890
13051, -101, 11, 1018, 2450, -210, 1820
13071, -103, 11, 1019, 2450, -210, 1890
13091, -101, 13, 1019, 2450, -210, 1890
13111, -103, 12, 1019, 2450, -210, 1890
13131, -101, 13, 1021, 2450, -210, 1820
13151, -104, 12, 1019, 2450, -210, 1820
13171, -102, 12, 1020, 2450, -210, 1890
13191, -101, 12, 1020, 2450, -210, 1890
13211, -101, 12, 1018, 2450, -210, 1890
13231, -103, 11, 1018, 2450, -210, 1820
13251, -101, 10, 1020, 2450, -140, 1820
13271, -101, 11, 1018, 2450, -210, 1890
13291, -103, 11, 1019, 2450, -210, 1820
13311, -101, 10, 1019, 2450, -210, 1820
13331, -103, 12, 1020, 2450, -210, 1820
13351, -102, 11, 1021, 2450, -210, 1820
13371, -103, 11, 1018, 2380, -210, 1820
13391, -102, 12, 1020, 2450, -210, 1890
13411, -102, 11, 1021, 2450, -210, 1820
13431, -101, 12, 1019, 2450, -210, 1820
13451, -103, 12, 1019, 2450, -210, 1890
13471, -102, 10, 1020, 2450, -210, 1820
13491, -101, 11, 1018, 2450, -210, 1890
13511, -103, 11, 1020, 2450, -210, 1890
13531, -102, 14, 1019, 2450, -210, 1820
13551, -102, 12, 1018, 2450, -210, 1820
13571, -102, 11, 1020, 2450, -210, 1890
13591, -102, 10, 1019, 2450, -210, 1890
13611, -102, 12, 1019, 2450, -210, 1890
13631, -102, 11, 1019, 2450, -210, 1820
13651, -103, 12, 1019, 2450, -210, 1820
13671, -103, 13, 1019, 2450, -210, 1820
13691, -102, 11, 1019, 2450, -210, 1890
13711, -102, 12, 1018, 2450, -140, 1820
13731, -101, 12, 1020, 2450, -210, 1820
13751, -103, 11, 1020, 2450, -210, 1820
13771, -102, 10, 1018, 2450, -210, 1890
13791, -104, 11, 1019, 2450, -210, 1890
13811, -103, 9, 1019, 2450, -210, 1890
13831, -102, 11, 1019, 2450, -210, 1890
13851, -102, 11, 1019, 2450, -210, 1820
13871, -101, 11, 1020, 2450, -210, 1820
13891, -102, 12, 1019, 2450, -210, 1820
13911, -103, 10, 1019, 2450, -210, 1890
13931, -100, 11, 1019, 2450, -210, 1820
13951, -101, 11, 1020, 2450, -210, 1820
13971, -102, 12, 1018, 2450, -210, 1820
13991, -102, 11, 1022, 2450, -210, 1820
14011, -102, 12, 1018, 2450, -210, 1890
14031, -102, 11, 1020, 2450, -210, 1820
14051, -103, 11, 1017, 2520, -210, 1820
