T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
206597, 297, 774, -44, -515970, -351260, 211050
206617, 747, 1215, -265, -268450, -632170, 280490
206637, 420, 747, -98, -168140, -633500, 290850
206657, 383, 391, -136, -137480, -493080, 265580
206677, 584, 627, -193, 28560, -434630, 196420
206697, 673, 885, -157, 155890, -280350, 15890
206717, 556, 653, -150, 218190, -52850, -65450
206737, 515, 731, -120, 276570, 163800, -91910
206757, 524, 884, -83, 339150, 336980, -171360
206777, 477, 858, -19, 369110, 462770, -206640
206797, 488, 911, 38, 371210, 517510, -230020
206817, 500, 914, 107, 351890, 495950, -266490
206837, 640, 1341, 332, 299600, 418740, -271180
206857, 675, 1139, 529, 177170, 186130, -356440
206877, 737, 1010, 7, -53620, -165410, -182490
206897, 571, 958, 13, -286580, -346010, 22820
206917, 471, 886, 2, -413070, -284340, 59220
206937, 621, 1011, -99, -378840, -344820, 119140
206957, 514, 873, -68, -306530, -390600, 183050
206977, 537, 725, -103, -256060, -358120, 206010
206997, 570, 780, -91, -156520, -331240, 214830
207017, 569, 701, -107, -65520, -254380, 140140
207037, 542, 687, -87, 17850, -153440, 80710
207057, 568, 749, -79, 88690, -30240, 2870
207077, 576, 807, -59, 155960, 84000, -49000
207097, 643, 976, -54, 207200, 187600, -92260
207117, 635, 1006, -23, 249270, 262990, -132650
207137, 584, 937, -12, 263480, 322980, -145320
207157, 598, 557, 52, 269640, 350910, -137410
207177, 615, 1265, 345, 274610, 361550, -132020
207197, 663, 981, 284, 208040, 261590, -170380
207217, 698, 889, -5, 48230, -490, -32130
207237, 567, 809, 30, -103880, -131180, 75250
207257, 622, 906, -29, -162400, -68460, 92750
207277, 604, 902, -9, -140420, -59360, 89390
207297, 551, 803, -11, -128100, -53620, 105700
207317, 511, 730, 0, -125300, -39410, 108290
207337, 511, 750, 8, -113260, -36960, 96180
207357, 555, 813, 0, -92120, -49210, 59500
207377, 592, 848, -14, -60690, -75110, 25970
207397, 593, 832, -16, -34300, -83580, -16450
207417, 632, 900, -26, -12530, -70350, -58100
207437, 553, 762, 2, 16240, -51660, -90860
207457, 1656, -1515, 1057, 31010, -18690, -101640
207477, 907, 1033, -15, 56280, -2170, -116270
207497, 536, 819, 65, 56490, -29540, -70000
207517, 585, 716, -45, -8610, 39410, 32130
207537, 571, 839, 17, 17080, 39970, 61320
207557, 571, 779, 6, 33460, 69790, 20440
207577, 595, 878, 20, 43820, 94850, 20160
207597, 555, 801, 36, 47810, 107100, -1330
207617, 567, 810, 29, 55370, 94360, -11130
207637, 528, 686, 113, 61530, 73220, -23800
207657, 629, 867, 86, 59780, 53690, -36400
207677, 649, 869, 57, 42770, 10710, -46410
207697, 611, 821, 56, 8750, -16660, -23100
207717, 594, 828, 40, -11060, -6790, -4480
207737, 570, 820, 40, -17640, 8120, 11340
207757, 561, 806, 34, -18970, 11060, 21560
207777, 543, 777, 38, -13720, -2870, 22120
207797, 560, 803, 32, -15050, -15750, 20720
207817, 543, 755, 38, -14840, -30940, 16240
207837, 561, 793, 29, -14420, -42910, 8680
207857, 576, 822, 24, -7070, -53760, -16660
207877, 601, 844, 10, 12110, -52500, -33670
207897, 601, 842, 14, 4480, -21140, -13300
207917, 600, 839, 15, 140, 12390, 210
207937, 591, 832, 21, 4060, 39060, 7840
207957, 581, 816, 26, 15470, 56210, 10500
207977, 572, 797, 26, 35910, 62230, 3360
207997, 582, 815, 16, 58100, 64820, -16170
208017, 581, 825, 13, 67410, 80360, -24150
208037, 577, 825, 19, 62720, 109410, -9310
208057, 566, 809, 31, 59640, 133210, 12810
208077, 570, 814, 31, 69930, 139160, 19320
208097, 583, 833, 28, 89390, 133210, 6300
208117, 587, 847, 25, 103810, 131530, -7000
208137, 582, 845, 23, 108080, 138320, -11760
