T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY,LabelZ
5593,-2,86,1026,2590,-140,4340,1,1,1
5613,-1,67,1028,2590,-70,1120,1,1,1
5633,1,70,1026,2590,0,2170,1,1,1
5653,2,68,1029,2590,-210,140,1,1,1
5673,4,69,1027,2590,-140,700,1,1,1
5693,2,68,1026,2660,140,1820,1,1,1
5713,33,31,1029,2730,560,1540,1,1,1
5733,-15,85,1028,2590,0,-770,1,1,1
5753,-15,83,1027,2520,-140,-490,1,1,1
5773,0,72,1027,2520,-210,-70,1,1,1
5793,-4,69,1029,2520,-350,1190,1,1,1
5813,0,71,1029,2590,-280,1750,1,1,1
5833,-21,78,1028,2660,-420,-1190,1,1,1
5853,-27,71,1029,2520,-490,-6510,1,1,1
5873,12,62,1027,2590,-70,-980,1,1,1
5893,3,69,1028,2590,-280,2030,1,1,1
5913,-1,59,1027,2590,-350,2100,1,1,1
5933,-7,73,1033,2730,140,840,1,1,1
5953,5,71,1027,2660,-140,-3780,1,1,1
5973,11,49,1025,2800,-140,-2590,1,1,1
5993,-4,72,1025,3080,420,2660,1,1,1
6013,19,58,1022,3430,910,6300,1,1,1
6033,7,97,1000,3570,2450,11620,1,1,1
6053,-16,85,1023,4270,4900,12250,1,1,1
6073,-18,57,1027,3360,3290,6440,1,1,1
6093,-2,67,1031,2450,630,1960,1,1,1
6113,-16,62,1029,2590,-560,3500,1,1,1
6133,31,111,1022,2590,-2310,4060,1,1,1
6153,-28,73,1030,2520,-3500,3780,1,1,1
6173,10,78,1029,2590,-3080,1120,1,1,1
6193,5,72,1029,2520,-1190,420,1,1,1
6213,0,66,1029,2520,-630,1400,1,1,1
6233,6,61,1027,2590,-280,1890,1,1,1
6253,-1,64,1030,2450,-490,1960,1,1,1
6273,-3,78,1026,2450,-420,2870,1,1,1
6293,-3,78,1029,2660,-70,6720,1,1,1
6313,3,77,1026,2800,280,5950,1,1,1
6333,-20,87,1026,2870,420,6300,1,1,1
6353,-3,66,1029,3080,700,6650,1,1,1
6373,18,78,1026,3080,630,5460,1,1,1
6393,-18,64,1030,2940,4340,4270,1,1,1
6413,-44,49,1039,2730,12180,4900,1,1,1
6433,-25,88,1029,2310,15820,4060,1,1,1
6453,33,113,1036,2660,17220,3430,1,1,1
6473,8,74,1051,4130,18550,910,1,1,1
6493,-58,92,1137,8960,28350,-6650,1,1,1
6513,-70,91,1061,12040,6510,-140,1,1,1
6533,-27,123,1110,25410,-14350,12320,1,1,1
6553,-40,58,1108,32270,-21980,17640,1,1,1
6573,-68,35,868,43330,-30030,21980,1,1,1
6593,79,160,1153,45220,-31850,21210,1,1,1
6613,19,150,1071,23940,-5670,14140,1,1,1
6633,26,82,1049,49210,-9800,11900,1,1,1
6653,9,199,1094,37100,-16940,23310,1,1,1
6673,58,162,979,39830,-11760,24570,1,1,1
6693,123,180,990,39410,-23730,32760,1,1,1
6713,63,199,1044,42490,-12880,25410,1,1,1
6733,49,180,1007,48790,1820,14140,1,1,1
6753,62,233,1038,50330,-5110,17080,1,1,1
6773,-2,238,980,53200,-5880,18340,1,1,1
6793,96,297,929,62090,-3500,17430,1,1,1
6813,95,292,860,73010,-10990,29820,1,1,1
6833,79,310,784,79240,-19040,45990,1,1,1
6853,77,327,818,97790,-15750,34090,1,1,1
6873,53,406,815,134330,-3430,980,1,1,1
6893,49,480,870,164430,17080,-19110,1,1,1
6913,53,580,979,157290,42000,-31570,1,1,1
6933,22,584,952,165620,54600,-27790,1,1,1
6953,12,693,796,214830,45780,-17220,1,1,1
6973,-95,669,708,273560,26740,-560,1,1,1
6993,-66,859,494,310100,23170,8470,1,1,1
7013,34,823,666,243950,9940,11620,1,1,1
7033,-26,820,610,76160,280,3990,1,1,1
7053,64,898,717,-8260,-14560,-10780,1,1,1
7073,-41,798,661,8960,-29750,-5320,1,1,1
7093,-97,729,370,31010,-30450,10850,1,1,1
7113,96,788,509,32830,-8890,21070,1,1,1
7133,62,817,564,-9940,28210,20440,1,1,1
7153,-7,850,603,-22820,50470,-5600,1,1,1
7173,-50,880,692,-26950,44800,-12810,1,1,1
7193,-93,826,690,-18130,28630,-9030,1,1,1
7213,-72,858,610,15680,14140,-2660,1,1,1
7233,-14,729,582,45290,-5040,20230,1,1,1
7253,66,783,513,65380,-14700,29050,1,1,1
7273,72,992,431,124670,-22610,24710,1,1,1
7293,16,961,456,173320,-19390,8400,1,1,1
7313,-52,804,428,88900,-5320,-3080,1,1,1
7333,-86,773,421,-21280,6090,-1330,1,1,1
7353,-6,905,550,-21980,17150,-14000,1,1,1
7373,104,968,466,-31920,23870,-19600,1,1,1
7393,-4,846,534,-8190,6370,140,1,1,1
7413,-77,1036,610,-27650,-4550,-28140,1,1,1
7433,-104,839,623,35280,-27790,17080,1,1,1
7453,44,664,686,156660,-51730,63140,1,1,1
7473,142,968,152,427140,-59010,62020,1,1,1
7493,150,1310,-280,487550,-54110,66500,1,1,1
7513,85,1091,124,190190,-15680,70560,1,1,1
7533,186,906,144,-48300,1610,70910,1,1,1
7553,221,870,59,21840,-3080,80780,1,1,1
7573,134,896,116,2170,3360,43120,1,1,1
7593,167,919,113,2310,630,28140,1,1,1
7613,198,970,113,-3850,-2030,24290,1,1,1
7633,177,1030,122,-3430,-1400,5740,1,1,1
7653,163,975,114,-70,4130,6510,1,1,1
7673,203,886,97,4200,9170,21280,1,1,1
7693,229,897,81,1190,11200,22470,1,1,1
7713,194,973,103,-1610,7350,8120,1,1,1
7733,220,1052,128,-7700,1190,-2170,1,1,1
7753,224,1048,117,-2660,-6160,3710,1,1,1
7773,146,999,150,-1750,-2240,12530,1,1,1
7793,162,925,135,-560,8400,18410,1,1,1
7813,234,939,107,1610,9310,29680,1,1,1
7833,312,958,89,2170,6160,32760,1,1,1
7853,341,1002,92,980,1890,23240,1,1,1
7873,228,1015,150,-1750,-3780,11690,1,1,1
7893,128,928,177,-4200,420,2870,1,1,1
7913,198,978,127,-6930,3360,1470,1,1,1
7933,256,934,113,-5600,9660,17780,1,1,1
7953,238,931,112,-2590,10920,20160,1,1,1
7973,303,912,156,1750,-8610,-3500,1,1,1
7993,172,911,163,-4550,-12950,-17080,1,1,1
8013,261,860,129,-20510,-23380,-42210,1,1,1
8033,253,1094,106,-23870,-32760,-84490,1,1,1
8053,105,1183,168,-31150,-11550,-98210,1,1,1
8073,230,1005,161,-14210,9870,-12180,1,1,1
8093,171,979,171,70,14700,30030,1,1,1
