T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX
15773,540,752,63,24780,25830,23520,1
15793,542,761,60,33180,24010,4340,1
15813,555,771,53,44100,18130,-3780,1
15833,571,789,50,48720,19460,2590,1
15853,596,829,55,46480,31220,4340,1
15873,625,900,58,46410,44520,-10710,1
15893,641,936,54,53340,51800,-25690,1
15913,628,893,47,64050,54670,-8610,1
15933,576,807,47,71260,63070,25410,1
15953,524,726,53,77070,78400,38010,1
15973,489,663,43,90720,85890,32270,1
15993,464,613,42,104720,88760,25760,1
16013,461,604,37,109340,101430,18480,1
16033,476,639,41,114870,115850,3080,1
16053,525,736,48,120120,132790,-14070,1
16073,611,872,40,126350,147070,-21350,1
16093,715,1040,14,140560,151620,-17500,1
16113,752,1119,12,152600,165620,-11830,1
16133,690,1037,33,142940,211050,-2730,1
16153,599,907,52,125650,262990,9100,1
16173,557,821,35,137970,276360,9800,1
16193,521,752,25,174440,254800,5390,1
16213,496,707,32,183400,255290,6650,1
16233,498,713,51,168630,279020,-1680,1
16253,546,805,52,163730,291760,-33670,1
16273,626,959,46,176960,280630,-87360,1
16293,693,1097,45,192360,263830,-135450,1
16313,720,1151,53,198800,257810,-148820,1
16333,677,1064,67,197190,257740,-116200,1
16353,600,921,74,187670,254660,-59990,1
16373,530,786,81,180320,238840,-19110,1
16393,486,706,91,180320,210140,-5110,1
16413,483,703,89,183050,172550,-20020,1
16433,521,757,78,190120,123200,-53130,1
16453,576,842,68,192220,73500,-82390,1
16473,605,899,74,168630,47740,-95690,1
16493,597,906,112,57470,62580,-57400,1
16513,582,889,129,32900,29960,-21560,1
16533,592,878,101,43540,-48370,210,1
16553,583,831,67,42770,-113470,-3220,1
16573,530,764,69,-6090,-119070,-18270,1
16593,475,706,91,-72030,-104790,-23030,1
16613,450,685,98,-114170,-121590,-10990,1
16633,477,717,77,-131320,-170730,6930,1
16653,527,775,58,-150990,-212380,12670,1
16673,564,848,60,-185990,-223720,-3290,1
16693,580,924,91,-216720,-229600,-25200,1
16713,632,1054,81,-209160,-278110,-33950,1
16733,734,1221,16,-179270,-351330,-12040,1
16753,726,1185,15,-196770,-360430,63000,1
16773,646,1042,56,-247380,-318150,139930,1
16793,607,960,63,-246260,-322420,139930,1
16813,635,1010,36,-195720,-375830,84630,1
16833,676,1078,28,-168840,-402570,44940,1
16853,689,1104,41,-173600,-390460,45710,1
16873,655,1064,51,-172200,-376950,56210,1
16893,607,948,46,-148330,-383810,78960,1
16913,593,873,30,-109130,-402080,88760,1
