T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY
10013,516,858,80,7980,-14840,11760,0,0
10033,527,873,92,2030,-13580,10570,0,0
10053,501,871,102,-10430,-8820,7770,0,0
10073,539,859,111,-18270,-5530,3920,0,0
10093,510,831,109,-20580,-5040,6090,0,0
10113,500,824,114,-18620,-7210,-1890,0,0
10133,540,856,111,-21070,-11900,-10780,0,0
10153,528,918,126,-28140,-15260,-21140,0,0
10173,484,888,153,-41230,-9800,-17010,0,0
10193,457,833,188,-60130,4410,6300,0,0
10213,490,791,220,-69930,12810,26040,0,0
10233,521,818,238,-58940,11410,26740,0,0
10253,550,874,228,-29050,3640,14140,0,0
10273,504,852,208,4900,-8050,6090,0,0
10293,511,827,183,23030,-13300,9100,0,0
10313,528,842,180,19250,-11690,11410,0,0
10333,518,836,205,6440,-5250,13440,0,0
10353,519,846,207,-5320,-630,6790,0,0
10373,534,826,189,-1470,-3290,1610,0,0
10393,564,849,178,8610,-6370,5180,0,0
10413,522,840,200,7070,-6300,3430,0,0
10433,476,817,207,-2030,-4690,-840,0,0
10453,525,830,203,-4340,-5390,2030,0,0
10473,549,852,195,1470,-3710,4340,0,0
10493,524,833,198,2310,-5110,-700,0,0
10513,535,850,191,2520,-6440,-2030,0,0
10533,527,847,192,4130,-6510,-3500,0,0
10553,512,828,189,1190,-6020,-6580,0,0
10573,540,815,181,-1540,-4830,-490,0,0
10593,508,824,176,-1120,-4760,5950,0,0
10613,514,823,186,-1680,-7070,4480,0,0
10633,509,814,197,-7770,-8820,3220,0,0
10653,589,861,144,-16310,-6510,1750,0,0
10673,518,864,181,-20230,-6230,-4340,0,0
10693,516,837,129,-1050,7280,9590,0,0
10713,531,814,67,27090,32690,28210,0,0
10733,591,818,18,80640,24290,48230,0,0
10753,598,792,4,126490,0,67690,0,0
10773,565,773,38,108990,47740,59290,0,0
10793,569,820,56,68600,129990,19320,0,0
10813,593,875,54,66640,163380,-22820,0,0
10833,589,889,62,94570,156450,-32690,0,0
10853,575,860,59,120190,147700,-9170,0,0
10873,585,825,30,147910,132090,38640,0,0
10893,580,782,16,166530,121800,82460,0,0
10913,554,781,48,153020,149590,80710,0,0
10933,554,852,74,121800,203840,23030,0,0
10953,586,913,69,122430,221130,-37240,0,0
10973,612,920,46,158410,187320,-30800,0,0
10993,605,876,37,185570,152390,30800,0,0
11013,580,832,44,177800,157850,84700,0,0
11033,557,809,61,148960,190260,87990,0,0
11053,543,802,68,127540,206920,15750,0,0
11073,549,821,65,144690,182140,-4060,0,0
11093,562,845,61,158340,158340,5530,0,0
11113,571,846,56,150920,150290,42700,0,0
11133,569,819,55,124250,158550,79520,0,0
11153,566,798,61,96250,171290,76790,0,0
11173,566,816,78,84910,170660,28700,0,0
11193,570,862,85,94080,146580,-20440,0,0
11213,581,876,76,109270,107800,-21140,0,0
11233,585,853,60,105910,82740,20860,0,0
11253,568,805,58,75880,87360,57120,0,0
11273,539,766,75,38290,103460,57330,0,0
11293,523,749,89,18060,101360,31640,0,0
11313,529,756,92,23310,69720,2450,0,0
11333,556,802,80,42350,21350,-23450,0,0
11353,594,863,66,50960,-16030,-37730,0,0
11373,610,887,60,29470,-20510,-23870,0,0
11393,587,852,74,-13160,-1610,12390,0,0
11413,564,802,87,-44240,5740,34930,0,0
11433,553,785,87,-42630,-19390,16660,0,0
11453,559,802,76,-23730,-60410,-26530,0,0
11473,566,822,67,-15050,-90510,-53830,0,0
11493,574,829,59,-27930,-98560,-48440,0,0
11513,567,820,65,-55020,-90510,-26600,0,0
11533,556,800,69,-80990,-81410,-4690,0,0
11553,550,776,75,-90720,-86660,6370,0,0
11573,564,797,67,-81200,-108640,-8050,0,0
11593,596,856,57,-64680,-134190,-49630,0,0
11613,616,911,52,-62720,-141750,-85050,0,0
11633,611,908,57,-80780,-127890,-76090,0,0
11653,582,847,62,-101150,-112140,-26530,0,0
11673,559,787,60,-105700,-111020,16730,0,0
11693,558,771,56,-94710,-120400,16730,0,0
11713,574,805,51,-79940,-127960,-20720,0,0
11733,598,861,50,-73570,-124460,-61390,0,0
11753,607,885,53,-77840,-110950,-72100,0,0
11773,597,871,58,-85820,-94920,-48230,0,0
11793,578,831,61,-86100,-86100,-8960,0,0
11813,573,793,52,-72170,-89810,21490,0,0
11833,576,781,40,-53130,-95340,23590,0,0
11853,577,795,41,-44730,-84490,-5530,0,0
11873,573,812,53,-49280,-57120,-40040,0,0
11893,568,820,61,-52780,-33670,-46900,0,0
11913,570,815,62,-44170,-28140,-21560,0,0
11933,575,805,53,-23870,-36820,13090,0,0
11953,579,795,43,-3850,-41650,32130,0,0
11973,582,788,42,6230,-31290,28560,0,0
11993,579,800,47,6090,-7280,8750,0,0
12013,578,820,56,3150,19880,-16450,0,0
12033,580,842,64,8190,35700,-26250,0,0
12053,588,846,59,23870,35000,-6860,0,0
12073,598,835,48,43750,26530,30450,0,0
12093,604,828,43,55720,28700,53410,0,0
12113,601,838,51,55930,47530,40810,0,0
12133,597,855,57,52430,71470,9450,0,0
12153,591,852,61,55160,84770,-7840,0,0
12173,579,835,60,63210,87290,1610,0,0
12193,567,812,61,71330,85750,24780,0,0
12213,562,794,60,77420,83300,47880,0,0
12233,567,786,55,80080,82950,60900,0,0
12253,574,800,57,79100,86940,53620,0,0
12273,584,837,61,76860,93660,25270,0,0
12293,595,873,68,75320,98700,-4480,0,0
12313,605,889,67,75530,97440,-8610,0,0
12333,600,874,63,75740,91210,14630,0,0
12353,587,837,63,71820,87220,45080,0,0
12373,574,807,66,64260,87080,58940,0,0
12393,565,795,70,57610,86660,46690,0,0
12413,565,810,70,55580,81060,17710,0,0
12433,564,821,70,55090,71540,-7840,0,0
12453,559,811,71,51730,61670,-10850,0,0
12473,546,779,72,42560,54530,11550,0,0
12493,539,750,72,30730,48510,40110,0,0
12513,548,759,72,22750,39200,47180,0,0
